"Accepted Symbol","Synonym Symbol","Scientific Name","Invasive","C:N Ratio","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Nitrogen Fixation","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Commercial Availability","Propogated by Seed","Palatable Browse Animal"
"CARU","","Calamagrostis rubescens","","Medium","Slow","","3.0","No","None","No","Yes","100","Medium","5.5","8.0","16","26","7","Tolerant","-28","Routinely Available","Yes","High"
"CASTI3","","Calamagrostis stricta ssp. inexpansa","","Medium","Moderate","","3.0","No","None","No","Yes","90","High","5.5","8.0","26","60","7","Intermediate","-38","Routinely Available","Yes","Medium"
"CALO","","Calamovilfa longifolia","","Medium","Moderate","","4.5","No","None","Yes","Yes","135","Medium","5.6","8.4","12","22","20","Intolerant","-38","Routinely Available","Yes","Medium"
"CAAM2","","Callicarpa americana","","High","Moderate","6","6.0","No","None","Yes","Yes","175","Low","4.8","7.0","35","60","14","Intermediate","-8","Routinely Available","Yes","High"
"CADE27","","Calocedrus decurrens","","High","Slow","12","100","Yes","None","Yes","Yes","100","Low","4.6","7.1","20","80","60","Intermediate","-25","Routinely Available","Yes","Low"
"CAAN22","","Calophyllum antillanum","FLEPPC","High","Slow","60","65","Yes","None","Yes","Yes","365","Low","5.0","7.0","39","197","40","Intermediate","36","Routinely Available","Yes","Low"
"CAIN4","","Calophyllum inophyllum","","Low","Slow","60","40","Yes","None","Yes","Yes","365","Medium","","","","","36","Intermediate","40","Routinely Available","Yes","Low"
"CALE4","","Caltha leptosepala","","Medium","Moderate","","1.0","No","None","Yes","Yes","80","High","6.6","8.2","16","40","8","Intolerant","-33","Routinely Available","Yes","Medium"
"CAPA5","","Caltha palustris","","High","Slow","","2.0","No","None","No","Yes","80","High","4.9","6.8","30","60","8","Intolerant","-38","Routinely Available","Yes",""
"CAQU2","","Camassia quamash","","Medium","Moderate","","2.3","No","None","Yes","Yes","110","High","5.7","7.0","16","55","10","Tolerant","-28","Routinely Available","Yes",""
"CASC5","","Camassia scilloides","","Medium","Moderate","","2.5","No","None","No","Yes","100","Medium","4.2","6.5","30","55","10","Tolerant","-28","Routinely Available","Yes",""
"CARA2","","Campsis radicans","KY, N'EAST, SWSS","High","Rapid","","2.0","No","None","Yes","Yes","165","Low","4.9","6.8","32","60","14","Intolerant","-13","Routinely Available","Yes",""
"CAWI","","Canella winterana","","","","49","33","Yes","None","Yes","No","365","","","","","","36","","40","Routinely Available","Yes","Low"
"CAAR18","","Caragana arborescens","","Medium","Rapid","12","12","No","Medium","Yes","Yes","150","Medium","5.0","8.5","12","55","16","Intermediate","-38","Routinely Available","Yes","Low"
"CAAB5","","Carex abscondita","","Medium","Slow","","0.7","No","None","No","Yes","165","High","4.8","6.8","36","55","6","Tolerant","-3","Routinely Available","Yes","Low"
"CAAL5","","Carex albolutescens","","","Moderate","","3.9","No","None","No","Yes","120","Medium","4.3","7.8","16","65","16","Intermediate","-38","Routinely Available","Yes",""
"CAAP3","","Carex aperta","","High","Moderate","","2.0","No","None","No","Yes","60","High","5.5","7.0","24","60","14","Intolerant","-18","Routinely Available","Yes","Medium"
"CAAQ","","Carex aquatilis","","","Moderate","","2.9","No","None","No","Yes","120","High","4.0","7.5","15","65","14","Intolerant","-38","Routinely Available","Yes",""
"CAAT2","","Carex atherodes","","Medium","Moderate","","5.0","No","None","No","Yes","85","High","4.5","7.2","12","60","8","Intolerant","-38","Routinely Available","Yes","Low"
"CAAT3","","Carex athrostachya","","Medium","Slow","","2.0","No","None","Yes","Yes","85","High","5.8","7.2","14","40","8","Intermediate","-33","Routinely Available","Yes","High"
"CAAT4","","Carex atlantica","","Medium","Moderate","","1.8","No","None","No","Yes","130","High","4.5","6.0","40","55","12","Intermediate","-18","Routinely Available","Yes","Low"
"CAAU3","","Carex aurea","","Medium","Slow","","1.2","No","None","Yes","Yes","85","High","5.5","7.2","14","40","8","Intermediate","-33","Routinely Available","Yes","Low"
"CABE2","","Carex bebbii","","Medium","Moderate","","3.0","No","None","No","Yes","80","High","4.6","7.0","14","55","8","Tolerant","-38","Routinely Available","Yes","Low"
"CABI3","","Carex bicknellii","","Medium","Moderate","","3.4","No","None","Yes","Yes","85","Low","4.5","6.6","14","55","8","Tolerant","-38","Routinely Available","Yes","Low"
"CABL","","Carex blanda","","Medium","Slow","","2.0","No","None","No","Yes","95","High","4.4","7.0","36","60","8","Tolerant","-28","Routinely Available","Yes","Low"
"CACA11","","Carex canescens","","Medium","Slow","","2.0","No","None","Yes","Yes","85","High","5.1","7.2","14","40","8","Intermediate","-33","Routinely Available","Yes","Low"
"CACE","","Carex cephalophora","","Medium","Moderate","","2.6","No","None","Yes","Yes","90","Low","4.8","7.0","36","55","8","Intermediate","-33","Routinely Available","Yes","Low"
"CACO8","","Carex comosa","","Medium","Slow","","5.0","No","None","No","Yes","90","High","4.6","7.5","14","55","8","Intermediate","-28","Routinely Available","Yes","Low"
"CACR6","","Carex crinita","","","Moderate","","5.2","No","None","No","Yes","144","Medium","4.0","7.5","36","65","18","Intermediate","-33","Routinely Available","Yes",""
"CACR7","","Carex cristatella","","Medium","Moderate","","3.0","No","None","No","Yes","85","High","4.9","6.8","32","55","8","Tolerant","-33","Routinely Available","Yes","Low"
"CACR8","","Carex crus-corvi","","","Moderate","","3.0","No","None","No","Yes","125","Medium","3.5","7.0","35","60","16","Intermediate","-28","Routinely Available","Yes",""
"CADE5","","Carex debilis","","Medium","Moderate","","3.0","No","None","Yes","Yes","180","High","4.6","6.6","36","55","8","Tolerant","-13","Routinely Available","Yes","Low"
"CADI6","","Carex disperma","","Low","Moderate","","2.0","No","None","No","Yes","80","High","4.5","6.5","14","55","8","Intermediate","-38","Routinely Available","Yes","Medium"
"CAFL3","","Carex flaccosperma","","Medium","Slow","","1.0","No","None","No","Yes","175","High","4.6","7.1","36","55","8","Tolerant","-8","Routinely Available","Yes","Low"
"CAFR3","","Carex frankii","","Medium","Slow","","2.0","No","None","No","Yes","140","High","5.9","7.2","18","55","9","Tolerant","-23","Routinely Available","Yes","Low"
"CAGR2","","Carex gracillima","","Medium","Slow","","3.0","No","None","No","Yes","85","Medium","4.7","6.9","36","55","8","Tolerant","-33","Routinely Available","Yes","Low"
"CAGR3","","Carex granularis","","Medium","Slow","","2.5","No","None","No","Yes","120","High","6.0","7.2","14","55","8","Tolerant","-33","Routinely Available","Yes","Low"
"CAGR5","","Carex grayi","","Medium","Slow","","3.0","No","None","No","Yes","85","High","5.7","7.2","36","55","8","Tolerant","-33","Routinely Available","Yes","Low"
"CAIN12","","Carex intumescens","","Medium","Moderate","","3.0","No","None","No","Yes","85","High","4.8","6.9","36","55","8","Tolerant","-33","Routinely Available","Yes","Low"
"CALA16","","Carex lacustris","","High","Rapid","","5.0","No","None","No","Yes","90","High","5.6","6.8","32","55","12","Tolerant","-28","Routinely Available","Yes","Low"
"CALU4","","Carex lupulina","","","Moderate","","4.3","No","None","No","Yes","107","Medium","6.2","7.0","26","65","18","Intermediate","-38","Routinely Available","Yes",""
"CALU5","","Carex lurida","","","Moderate","","3.2","No","None","Yes","Yes","120","Medium","4.9","6.8","20","65","16","Intermediate","-33","Routinely Available","Yes",""
"CAMI7","","Carex microptera","","Medium","Slow","","2.0","No","None","Yes","Yes","85","High","5.6","7.4","10","24","8","Intolerant","-33","Routinely Available","Yes","Low"
"CAMO11","","Carex molesta","","Medium","Slow","","3.0","No","None","Yes","Yes","85","Medium","4.9","7.0","24","55","10","Intolerant","-38","Routinely Available","Yes","Low"
"CAMU9","","Carex muskingumensis","","Medium","Slow","","3.0","No","None","No","Yes","85","High","4.7","6.9","36","60","8","Tolerant","-33","Routinely Available","Yes","Low"
"CANE2","","Carex nebrascensis","","Medium","Moderate","","3.0","No","None","Yes","Yes","85","High","5.7","7.4","14","32","10","Intolerant","-38","Routinely Available","Yes","Medium"
"CANO","","Carex normalis","","High","Rapid","","5.0","No","None","No","Yes","85","High","4.7","6.7","32","55","12","Tolerant","-33","Routinely Available","Yes","Low"
"CAOB3","","Carex obnupta","","High","Rapid","","3.0","No","None","No","Yes","60","High","5.5","7.0","40","65","12","Intermediate","-3","Routinely Available","Yes","Medium"
"CAPR5","","Carex praegracilis","","Medium","Moderate","","2.0","No","None","Yes","Yes","80","Medium","5.3","6.8","10","24","10","Intermediate","-38","Routinely Available","Yes","Low"
"CAPR12","","Carex prasina","","Medium","Moderate","","2.3","No","None","No","Yes","95","Medium","4.8","6.8","34","55","8","Tolerant","-28","Routinely Available","Yes","Low"
"CAPR9","","Carex projecta","","Medium","Slow","","2.0","No","None","No","Yes","80","Medium","4.8","7.0","32","55","8","Tolerant","-33","Routinely Available","Yes","Low"
"CARO6","","Carex rostrata","","Medium","Moderate","","3.5","No","None","No","Yes","80","High","4.5","7.0","10","40","16","Tolerant","-38","Routinely Available","Yes","Low"
"CASC11","","Carex scoparia","","Medium","Moderate","","2.5","No","None","No","Yes","85","High","4.6","6.9","20","55","8","Tolerant","-38","Routinely Available","Yes","Low"
"CASC12","","Carex scopulorum","","Medium","Moderate","","1.3","No","None","Yes","Yes","80","High","6.8","7.5","8","20","8","Intermediate","-38","Routinely Available","Yes","Low"
"CASH2","","Carex shortiana","","Medium","Moderate","","3.0","No","None","No","Yes","145","High","4.7","6.9","32","55","8","Intermediate","-18","Routinely Available","Yes","Low"
"CASI2","","Carex simulata","","Medium","Slow","","1.5","No","None","Yes","Yes","85","High","6.0","7.5","8","24","10","Intermediate","-38","Routinely Available","Yes","Low"
"CASQ2","","Carex squarrosa","","Medium","Slow","","3.0","No","None","No","Yes","110","Medium","5.6","7.3","34","55","8","Tolerant","-28","Routinely Available","Yes","Low"
"CAST5","","Carex stipata","","Medium","Slow","","3.5","No","None","No","Yes","80","Medium","4.9","7.9","12","50","8","Tolerant","-38","Routinely Available","Yes","Medium"
"CAST8","","Carex stricta","","","Moderate","","4.2","No","None","Yes","Yes","110","Medium","3.5","7.0","32","65","18","Tolerant","-38","Routinely Available","Yes",""
"CATO4","","Carex torta","","Medium","Slow","","2.8","No","None","Yes","Yes","90","Medium","5.0","7.0","32","50","8","Tolerant","-33","Routinely Available","Yes","Low"
"CATR7","","Carex tribuloides","","Medium","Slow","","3.0","No","None","No","Yes","85","Medium","4.8","7.0","32","50","8","Tolerant","-28","Routinely Available","Yes","Low"
"CATR8","","Carex trichocarpa","","High","Rapid","","3.5","No","None","No","Yes","85","High","5.7","7.0","18","55","10","Intermediate","-33","Routinely Available","Yes","Low"
"CATY","","Carex typhina","","Medium","Moderate","","2.0","No","None","No","Yes","90","High","5.7","7.0","32","55","8","Tolerant","-28","Routinely Available","Yes","Low"
"CAVE6","","Carex vesicaria","","Medium","Moderate","","3.0","No","None","Yes","Yes","80","High","4.5","7.5","8","40","16","Intermediate","-38","Routinely Available","Yes","Low"
"CAVI5","","Carex viridula","","Medium","Moderate","","1.5","No","None","No","Yes","80","High","4.5","7.5","8","40","10","Intolerant","-38","Routinely Available","Yes","Low"
"CAVU2","","Carex vulpinoidea","","","Moderate","","3.2","No","None","No","Yes","110","Medium","6.8","8.9","12","65","16","Intermediate","-38","Routinely Available","Yes",""
"CAPA23","","Carica papaya","","High","Rapid","","20","Yes","None","No","Yes","365","High","5.0","8.0","60","80","40","Intolerant","32","Routinely Available","Yes",""
"CAPA53","","Carphephorus paniculatus","","Medium","Rapid","","3.0","No","None","No","Yes","110","Low","5.8","7.0","30","60","12","Tolerant","7","Routinely Available","Yes","Low"
"CACA18","","Carpinus caroliniana","","High","Slow","18","30","No","None","Yes","Yes","80","Medium","4.0","7.4","23","80","20","Tolerant","-34","Routinely Available","Yes","Low"
"CAAQ2","","Carya aquatica","","High","Slow","30","85","No","None","Yes","Yes","200","Medium","4.0","7.3","35","70","48","Intermediate","-18","Routinely Available","Yes","Low"
"CACO15","","Carya cordiformis","","High","Slow","30","75","No","None","Yes","Yes","120","Medium","4.8","7.4","25","70","50","Intolerant","-47","Routinely Available","Yes","Low"
"CAIL2","","Carya illinoinensis","","High","Slow","35","120","No","None","Yes","Yes","180","High","4.5","7.5","28","79","32","Intolerant","-21","Routinely Available","Yes","Low"
"CALA21","","Carya laciniosa","","High","Slow","35","100","No","None","Yes","Yes","150","High","5.0","6.6","30","60","60","Tolerant","-22","Routinely Available","Yes","Low"
"CAMY","","Carya myristiciformis","","High","Slow","30","95","No","None","No","Yes","240","Medium","4.7","6.5","40","60","48","Intolerant","-10","Routinely Available","Yes","Low"
"CAOV2","","Carya ovata","","High","Slow","15","75","No","None","Yes","Yes","140","Medium","4.0","7.3","29","80","48","Intermediate","-40","Routinely Available","Yes","Low"
"CAMO83","","Castanea mollissima","","","Rapid","25","50","No","None","Yes","Yes","180","Medium","5.0","7.5","35","50","36","Intolerant","-20","Routinely Available","Yes","Low"
"CACO17","","Castilleja coccinea","","Low","Rapid","","1.6","No","None","No","Yes","75","Medium","4.9","6.8","25","55","8","Tolerant","-28","Routinely Available","Yes",""
"CASE5","","Castilleja sessiliflora","","Medium","Moderate","","1.3","No","None","Yes","Yes","120","Low","6.0","7.4","16","32","10","Intolerant","-38","Routinely Available","Yes",""
"CACU8","","Casuarina cunninghamiana","","High","Rapid","50","100","Yes","Low","Yes","Yes","300","Medium","6.5","7.9","25","60","24","Intolerant","22","Routinely Available","Yes",""
"CAEQ","","Casuarina equisetifolia","FLEPPC, HEAR","High","Rapid","50","100","Yes","Low","Yes","Yes","300","Medium","6.2","8.8","25","60","24","Intolerant","22","Routinely Available","Yes",""
"CAGL11","","Casuarina glauca","FLEPPC, HEAR","High","Rapid","40","60","Yes","Low","Yes","Yes","280","Medium","6.5","7.5","25","60","24","Intolerant","17","Routinely Available","Yes",""
"CABI8","","Catalpa bignonioides","","","Rapid","66","66","No","None","Yes","Yes","140","Low","5.5","7.5","30","65","36","Intermediate","-18","Routinely Available","Yes","Medium"
"CASP8","","Catalpa speciosa","","High","Rapid","20","60","No","Low","Yes","Yes","90","Low","5.5","7.0","20","80","20","Intolerant","-38","Routinely Available","Yes","Low"
"CEAM","","Ceanothus americanus","","High","Slow","3","3.0","No","Low","Yes","Yes","120","Low","4.3","6.5","25","60","14","Tolerant","-28","Routinely Available","Yes","Medium"
"CECO","","Ceanothus cordulatus","","Low","Slow","4","8.0","No","Low","Yes","Yes","90","Low","7.0","8.5","16","46","20","Intolerant","-23","Routinely Available","Yes","High"
"CEPR","","Ceanothus prostratus","","High","Slow","","0.5","Yes","Low","Yes","Yes","120","Low","7.1","8.5","16","40","14","Tolerant","-23","Routinely Available","Yes","Low"
"CEDE2","","Cedrus deodara","","High","Rapid","35","60","Yes","None","Yes","Yes","160","Low","6.0","7.5","20","80","20","Tolerant","-15","Routinely Available","Yes","Medium"
"CEOR7","","Celastrus orbiculatus","N'EAST, SEEPPC, STATE, WI","High","Rapid","30","30","No","None","Yes","Yes","100","High","5.0","7.5","30","60","18","Tolerant","-38","Routinely Available","Yes","Low"
"CESC","","Celastrus scandens","","High","Rapid","","15","No","None","Yes","Yes","110","High","5.0","7.5","30","60","18","Tolerant","-38","Routinely Available","Yes","Low"
"CELA","","Celtis laevigata","","High","Moderate","35","80","No","None","No","Yes","150","High","4.4","7.7","20","80","24","Tolerant","-21","Routinely Available","Yes","Low"
"CELAR","","Celtis laevigata var. reticulata","","High","Rapid","8","20","No","None","Yes","Yes","150","Low","5.9","8.3","7","55","12","Intolerant","-42","Routinely Available","Yes","Medium"
"CEOC","","Celtis occidentalis","","High","Rapid","26","60","No","None","Yes","Yes","120","Low","6.0","7.8","14","60","36","Tolerant","-47","Routinely Available","Yes","Medium"
